name,team,position,AB,H,HR,RBI,AVG,OBP
" Abreu, J",CWS,IF,499,132,22,78,0.265,0.325
" Acuna Jr., R",ATL,OF,433,127,26,64,0.293,0.366
" Adames, W",TB,IF,288,80,10,34,0.278,0.348
" Adams, M",STL,IF,306,73,21,57,0.239,0.309
" Adduci, J",DET,IF,176,47,3,21,0.267,0.29
" Adrianza, E",MIN,IF,335,84,6,39,0.251,0.301
" Aguilar, J",MIL,IF,492,135,35,108,0.274,0.352
" Ahmed, N",ARI,IF,516,121,16,70,0.234,0.29
" Albies, O",ATL,IF,639,167,24,72,0.261,0.305
" Alfaro, J",PHI,C,344,90,10,37,0.262,0.324
" Allen, G",CLE,OF,265,68,2,20,0.257,0.31
" Almonte, A",KC,OF,134,24,3,9,0.179,0.26
" Almora Jr., A",CHC,OF,444,127,5,41,0.286,0.323
" Alonso, Y",CLE,IF,516,129,23,83,0.25,0.317
" Altherr, A",PHI,OF,243,44,8,38,0.181,0.295
" Altuve, J",HOU,IF,534,169,13,61,0.316,0.386
" Alvarez, P",BAL,IF,111,20,8,18,0.18,0.283
" Anderson, B",MIA,OF,590,161,11,65,0.273,0.357
" Anderson, T",CWS,IF,567,136,20,64,0.24,0.281
" Andrus, E",TEX,IF,395,101,6,33,0.256,0.308
" Andujar, M",NYY,IF,573,170,27,92,0.297,0.328
" Arcia, F",LAA,C,103,21,6,23,0.204,0.226
" Arcia, O",MIL,IF,348,82,3,30,0.236,0.268
" Arenado, N",COL,IF,590,175,38,110,0.297,0.374
" Asuaje, C",SD,IF,189,37,2,19,0.196,0.286
" Austin, T",MIN,IF,244,56,17,47,0.23,0.287
" Avila, A",ARI,C,194,32,7,20,0.165,0.299
" Bader, H",STL,OF,379,100,12,37,0.264,0.334
" Baez, J",CHC,IF,606,176,34,111,0.29,0.326
" Barnes, A",LAD,C,200,41,4,14,0.205,0.329
" Barnhart, T",CIN,C,460,114,10,46,0.248,0.328
" Bauers, J",TB,IF,323,65,11,48,0.201,0.316
" Bautista, J",PHI,OF,325,66,13,48,0.203,0.348
" Beckham, T",BAL,IF,369,85,12,35,0.23,0.287
" Bell, J",PIT,IF,501,131,12,62,0.261,0.357
" Bellinger, C",LAD,IF,557,145,25,76,0.26,0.343
" Belt, B",SF,IF,399,101,14,46,0.253,0.342
" Beltre, A",TEX,IF,433,118,15,65,0.273,0.328
" Benintendi, A",BOS,OF,579,168,16,87,0.29,0.366
" Betts, M",BOS,OF,520,180,32,80,0.346,0.438
" Bird, G",NYY,IF,272,54,11,38,0.199,0.286
" Blackmon, C",COL,OF,626,182,29,70,0.291,0.358
" Blanco, G",SF,OF,189,41,2,12,0.217,0.262
" Blandino, A",CIN,IF,128,30,1,8,0.234,0.324
" Bogaerts, X",BOS,IF,513,148,23,103,0.288,0.36
" Bonifacio, J",KC,OF,236,53,4,23,0.225,0.312
" Bote, D",CHC,IF,184,44,6,33,0.239,0.319
" Bour, J",PHI,IF,423,96,20,59,0.227,0.341
" Bradley Jr., J",BOS,OF,474,111,13,59,0.234,0.314
" Brantley, M",CLE,OF,570,176,17,76,0.309,0.364
" Braun, R",MIL,OF,405,103,20,64,0.254,0.313
" Bregman, A",HOU,IF,594,170,31,103,0.286,0.394
" Briceno, J",LAA,C,117,28,5,10,0.239,0.299
" Brinson, L",MIA,OF,382,76,11,42,0.199,0.24
" Bruce, J",NYM,OF,319,71,9,37,0.223,0.31
" Bryant, K",CHC,IF,389,106,13,52,0.272,0.374
" Butera, D",COL,C,163,31,3,21,0.19,0.264
" Cabrera, A",PHI,IF,546,143,23,75,0.262,0.316
" Cabrera, M",DET,IF,134,40,3,22,0.299,0.395
" Cabrera, M",CLE,OF,250,70,6,39,0.28,0.335
" Cain, L",MIL,OF,539,166,10,38,0.308,0.395
" Calhoun, K",LAA,OF,491,102,19,57,0.208,0.283
" Camargo, J",ATL,IF,464,126,19,76,0.272,0.349
" Candelario, J",DET,IF,539,121,19,54,0.224,0.317
" Canha, M",OAK,OF,365,91,17,52,0.249,0.328
" Cano, R",SEA,IF,310,94,10,50,0.303,0.374
" Caratini, V",CHC,C,181,42,2,21,0.232,0.293
" Carpenter, M",STL,IF,564,145,36,81,0.257,0.374
" Casali, C",CIN,C,140,41,4,16,0.293,0.355
" Castellanos, N",DET,OF,620,185,23,89,0.298,0.354
" Castillo, W",CWS,C,170,44,6,15,0.259,0.304
" Castro, S",MIA,IF,593,165,12,54,0.278,0.329
" Cave, J",MIN,OF,283,75,13,45,0.265,0.313
" Cervelli, F",PIT,C,332,86,12,57,0.259,0.378
" Cespedes, Y",NYM,OF,141,37,9,29,0.262,0.325
" Chapman, M",OAK,IF,547,152,24,68,0.278,0.356
" Chirinos, R",TEX,C,360,80,18,65,0.222,0.338
" Choi, J",TB,IF,190,50,10,32,0.263,0.357
" Choo, S",TEX,OF,560,148,21,62,0.264,0.377
" Conforto, M",NYM,OF,543,132,28,82,0.243,0.35
" Contreras, W",CHC,C,474,118,10,54,0.249,0.339
" Cordero, F",SD,OF,139,33,7,19,0.237,0.307
" Correa, C",HOU,IF,402,96,15,65,0.239,0.323
" Cowart, K",LAA,IF,112,15,1,10,0.134,0.21
" Cozart, Z",LAA,IF,224,49,5,18,0.219,0.296
" Crawford, B",SF,IF,531,135,14,54,0.254,0.325
" Crawford, J",PHI,IF,117,25,3,12,0.214,0.319
" Cron, C",TB,IF,501,127,30,74,0.253,0.323
" Cuevas, N",COL,OF,146,34,2,10,0.233,0.268
" Culberson, C",ATL,OF,296,80,12,45,0.27,0.326
" Cuthbert, C",KC,IF,103,20,3,7,0.194,0.282
" Dahl, D",COL,OF,249,68,16,48,0.273,0.325
" Davis, C",BAL,IF,470,79,16,49,0.168,0.243
" Davis, J",HOU,IF,103,18,1,5,0.175,0.248
" Davis, K",OAK,OF,576,142,48,123,0.247,0.326
" Davis, R",CLE,OF,196,44,1,6,0.224,0.278
" Dean, A",MIA,OF,113,25,4,14,0.221,0.279
" DeJong, P",STL,IF,436,105,19,68,0.241,0.313
" Delmonico, N",CWS,OF,284,61,8,25,0.215,0.296
" Descalso, D",ARI,IF,349,83,13,57,0.238,0.353
" DeShields, D",TEX,OF,334,72,2,22,0.216,0.31
" Desmond, I",COL,IF,555,131,22,88,0.236,0.307
" Devers, R",BOS,IF,450,108,21,66,0.24,0.298
" Diaz, A",TOR,IF,422,111,18,55,0.263,0.303
" Diaz, E",PIT,C,252,72,10,34,0.286,0.339
" Diaz, Y",CLE,IF,109,34,1,15,0.312,0.375
" Dickerson, C",PIT,OF,504,151,13,55,0.3,0.33
" Dietrich, D",MIA,OF,499,132,16,45,0.265,0.33
" Difo, W",WSH,IF,408,94,7,42,0.23,0.298
" Dixon, B",CIN,IF,118,21,5,10,0.178,0.218
" Donaldson, J",CLE,IF,187,46,8,23,0.246,0.352
" Dozier, B",LAD,IF,553,119,21,72,0.215,0.305
" Dozier, H",KC,IF,362,83,11,34,0.229,0.278
" Duda, L",ATL,IF,328,79,14,50,0.241,0.313
" Duffy, M",TB,IF,503,148,4,44,0.294,0.361
" Duggar, S",SF,OF,141,36,2,17,0.255,0.303
" Duvall, A",ATL,OF,384,75,15,61,0.195,0.274
" Dyson, J",ARI,OF,206,39,2,12,0.189,0.282
" Eaton, A",WSH,OF,319,96,5,33,0.301,0.394
" Ellis, A",SD,C,151,41,1,15,0.272,0.378
" Engel, A",CWS,OF,429,101,6,29,0.235,0.279
" Ervin, P",CIN,OF,218,55,7,31,0.252,0.324
" Escobar, A",KC,IF,485,112,4,34,0.231,0.279
" Escobar, E",ARI,IF,566,154,23,84,0.272,0.334
" Fernandez, J",LAA,IF,116,31,2,11,0.267,0.309
" Field, J",MIN,OF,221,49,9,21,0.222,0.254
" Flaherty, R",ATL,IF,161,35,2,13,0.217,0.298
" Fletcher, D",LAA,IF,284,78,1,25,0.275,0.316
" Flores, W",NYM,IF,386,103,11,51,0.267,0.319
" Flowers, T",ATL,C,251,57,8,30,0.227,0.341
" Forsythe, L",MIN,IF,371,86,2,27,0.232,0.313
" Fowler, D",OAK,OF,192,43,6,23,0.224,0.256
" Fowler, D",STL,OF,289,52,8,31,0.18,0.278
" Franco, M",PHI,IF,433,117,22,68,0.27,0.314
" Frazier, A",PIT,IF,318,88,10,35,0.277,0.342
" Frazier, T",NYM,IF,408,87,18,59,0.213,0.303
" Freeman, F",ATL,IF,618,191,23,98,0.309,0.388
" Freese, D",LAD,IF,280,83,11,51,0.296,0.359
" Gallo, J",TEX,OF,500,103,40,92,0.206,0.312
" Galvis, F",SD,IF,602,149,13,67,0.248,0.299
" Gamel, B",SEA,OF,257,70,1,19,0.272,0.358
" Garcia, A",CWS,OF,356,84,19,49,0.236,0.281
" Garcia, G",STL,IF,181,40,3,15,0.221,0.309
" Garcia, L",CWS,OF,258,70,4,32,0.271,0.303
" Gardner, B",NYY,OF,530,125,12,45,0.236,0.322
" Garver, M",MIN,C,302,81,7,45,0.268,0.335
" Gattis, E",HOU,C,407,92,25,78,0.226,0.284
" Gennett, S",CIN,IF,584,181,23,92,0.31,0.357
" Gentry, C",BAL,OF,156,42,1,11,0.269,0.321
" Goins, R",PHI,IF,115,26,0,6,0.226,0.252
" Goldschmidt, P",ARI,IF,593,172,33,83,0.29,0.389
" Gomes, Y",CLE,C,403,107,16,48,0.266,0.313
" Gomez, C",TB,OF,360,75,9,32,0.208,0.298
" Gonzalez, A",NYM,IF,169,40,6,26,0.237,0.299
" Gonzalez, C",COL,OF,463,128,16,64,0.276,0.329
" Gonzalez, E",CLE,IF,136,36,1,16,0.265,0.301
" Gonzalez, M",HOU,OF,489,121,16,68,0.247,0.324
" Goodrum, N",DET,IF,444,109,16,53,0.245,0.315
" Goodwin, B",KC,OF,159,38,6,25,0.239,0.318
" Gordon, A",KC,OF,506,124,13,54,0.245,0.324
" Gordon, D",SEA,IF,556,149,4,36,0.268,0.288
" Grandal, Y",LAD,C,440,106,24,68,0.241,0.349
" Granderson, C",MIL,OF,343,83,13,38,0.242,0.351
" Gregorius, D",NYY,IF,504,135,27,86,0.268,0.335
" Grichuk, R",TOR,OF,424,104,25,61,0.245,0.301
" Grossman, R",MIN,OF,396,108,5,48,0.273,0.367
" Gurriel Jr., L",TOR,IF,249,70,11,35,0.281,0.309
" Gurriel, Y",HOU,IF,537,156,13,85,0.291,0.323
" Guyer, B",CLE,OF,194,40,7,27,0.206,0.3
" Guzman, R",TEX,IF,387,91,16,58,0.235,0.306
" Gyorko, J",STL,IF,351,92,11,47,0.262,0.346
" Hamilton, B",CIN,OF,504,119,4,29,0.236,0.299
" Haniger, M",SEA,OF,596,170,26,93,0.285,0.366
" Hanson, A",SF,IF,294,74,8,39,0.252,0.274
" Happ, I",CHC,OF,387,90,15,44,0.233,0.353
" Harper, B",WSH,OF,550,137,34,100,0.249,0.393
" Harrison, J",PIT,IF,344,86,8,37,0.25,0.293
" Healy, R",SEA,IF,493,116,24,73,0.235,0.277
" Hechavarria, A",NYY,IF,296,73,6,31,0.247,0.279
" Hedges, A",SD,C,303,70,14,37,0.231,0.282
" Heredia, G",SEA,OF,292,69,5,19,0.236,0.318
" Hernandez, C",PHI,IF,605,153,15,60,0.253,0.356
" Hernandez, G",SF,OF,414,97,15,40,0.234,0.285
" Hernandez, K",LAD,OF,402,103,21,52,0.256,0.336
" Hernandez, T",TOR,OF,476,114,22,57,0.239,0.302
" Herrera, O",PHI,OF,550,140,22,71,0.255,0.31
" Herrera, R",KC,OF,278,65,1,20,0.234,0.286
" Heyward, J",CHC,OF,440,119,8,57,0.27,0.335
" Hicks, A",NYY,OF,480,119,27,79,0.248,0.366
" Hicks, J",DET,IF,288,75,9,32,0.26,0.312
" Holaday, B",MIA,C,151,31,1,16,0.205,0.261
" Holt, B",BOS,IF,321,89,7,46,0.277,0.362
" Hoskins, R",PHI,OF,558,137,34,96,0.246,0.354
" Hosmer, E",SD,IF,613,155,18,69,0.253,0.322
" Hundley, N",SF,C,282,68,10,31,0.241,0.298
" Iannetta, C",COL,C,299,67,11,36,0.224,0.345
" Iglesias, J",DET,IF,432,116,5,48,0.269,0.31
" Inciarte, E",ATL,OF,597,158,10,61,0.265,0.325
" Jackson, A",NYM,OF,347,85,3,32,0.245,0.299
" Jankowski, T",SD,OF,347,90,4,17,0.259,0.332
" Jay, J",ARI,OF,527,141,3,40,0.268,0.33
" Jones, A",BAL,OF,580,163,15,63,0.281,0.313
" Jones, J",DET,OF,429,89,11,34,0.207,0.266
" Joseph, C",BAL,C,265,58,3,17,0.219,0.254
" Joyce, M",OAK,OF,207,43,7,15,0.208,0.322
" Judge, A",NYY,OF,413,115,27,67,0.278,0.392
" Kemp, M",LAD,OF,462,134,21,85,0.29,0.338
" Kemp, T",HOU,OF,255,67,6,30,0.263,0.351
" Kendrick, H",WSH,IF,152,46,4,12,0.303,0.331
" Kepler, M",MIN,OF,532,119,20,58,0.224,0.319
" Kieboom, S",WSH,C,125,29,2,13,0.232,0.322
" Kiermaier, K",TB,OF,332,72,7,29,0.217,0.282
" Kiner-Falefa, I",TEX,IF,356,93,4,34,0.261,0.325
" Kingery, S",PHI,IF,452,102,8,35,0.226,0.267
" Kinsler, I",BOS,IF,487,117,14,48,0.24,0.301
" Kipnis, J",CLE,IF,530,122,18,75,0.23,0.315
" Knapp, A",PHI,C,187,37,4,15,0.198,0.294
" Kratz, E",MIL,C,203,48,6,23,0.236,0.28
" La Stella, T",CHC,IF,169,45,1,19,0.266,0.34
" LaMarre, R",CWS,OF,165,46,2,18,0.279,0.322
" Lamb, J",ARI,IF,207,46,6,31,0.222,0.307
" Laureano, R",OAK,OF,156,45,5,19,0.288,0.358
" LeMahieu, D",COL,IF,533,147,15,62,0.276,0.321
" Leon, S",BOS,C,265,47,5,22,0.177,0.232
" Lindor, F",CLE,IF,661,183,38,92,0.277,0.352
" Longoria, E",SF,IF,480,117,16,54,0.244,0.281
" Lopez, R",SD,C,102,18,3,13,0.176,0.265
" Lowe, B",TB,IF,129,30,6,25,0.233,0.324
" Lowrie, J",OAK,IF,596,159,23,99,0.267,0.353
" Lucroy, J",OAK,C,415,100,4,51,0.241,0.291
" Machado, D",DET,IF,214,44,1,21,0.206,0.263
" Machado, M",LAD,IF,632,188,37,107,0.297,0.367
" Mahtook, M",DET,OF,223,45,9,29,0.202,0.276
" Maile, L",TOR,C,202,50,3,27,0.248,0.333
" Maldonado, M",HOU,C,373,84,9,44,0.225,0.276
" Mancini, T",BAL,OF,582,141,24,58,0.242,0.299
" Margot, M",SD,OF,477,117,8,51,0.245,0.292
" Marisnick, J",HOU,OF,213,45,10,28,0.211,0.275
" Markakis, N",ATL,OF,623,185,14,93,0.297,0.366
" Marte, J",LAA,IF,194,42,7,22,0.216,0.273
" Marte, K",ARI,IF,520,135,14,59,0.26,0.332
" Marte, S",PIT,OF,559,155,20,72,0.277,0.327
" Martin, L",CLE,OF,318,81,11,33,0.255,0.323
" Martin, R",TOR,C,289,56,10,25,0.194,0.338
" Martinez, J",STL,IF,534,163,17,83,0.305,0.364
" Martinez, J",BOS,OF,569,188,43,130,0.33,0.402
" Martini, N",OAK,OF,152,45,1,19,0.296,0.397
" Mathis, J",ARI,C,195,39,1,20,0.2,0.272
" Mauer, J",MIN,IF,486,137,6,48,0.282,0.351
" Maybin, C",SEA,OF,342,85,4,28,0.249,0.326
" Mazara, N",TEX,OF,489,126,20,77,0.258,0.317
" McCann, B",HOU,C,189,40,7,23,0.212,0.301
" McCann, J",DET,C,427,94,8,39,0.22,0.267
" McCutchen, A",NYY,OF,569,145,20,65,0.255,0.368
" McKinney, B",TOR,OF,119,30,6,13,0.252,0.318
" McMahon, R",COL,IF,181,42,5,19,0.232,0.307
" McNeil, J",NYM,IF,225,74,3,19,0.329,0.381
" Meadows, A",TB,OF,178,51,6,17,0.287,0.325
" Mercer, J",PIT,IF,394,99,6,39,0.251,0.315
" Merrifield, W",KC,IF,632,192,12,60,0.304,0.367
" Mesoraco, D",NYM,C,244,54,11,33,0.221,0.303
" Miller, B",MIL,IF,230,57,7,29,0.248,0.311
" Molina, Y",STL,C,459,120,20,74,0.261,0.314
" Moncada, Y",CWS,IF,578,136,17,61,0.235,0.315
" Mondesi, A",KC,IF,275,76,14,37,0.276,0.306
" Moran, C",PIT,IF,415,115,11,58,0.277,0.34
" Moreland, M",BOS,IF,404,99,15,68,0.245,0.325
" Morrison, L",MIN,IF,318,59,15,39,0.186,0.276
" Moustakas, M",MIL,IF,573,144,28,95,0.251,0.315
" Mullins, C",BAL,OF,170,40,4,11,0.235,0.312
" Muncy, M",LAD,IF,395,104,35,79,0.263,0.391
" Munoz, Y",STL,IF,293,81,8,42,0.276,0.35
" Murphy, D",CHC,IF,328,98,12,42,0.299,0.336
" Murphy, J",ARI,C,208,42,9,24,0.202,0.244
" Myers, W",SD,OF,312,79,11,39,0.253,0.318
" Naquin, T",CLE,OF,174,46,3,23,0.264,0.295
" Narvaez, O",CWS,C,280,77,9,30,0.275,0.366
" Nimmo, B",NYM,OF,433,114,17,47,0.263,0.404
" Nunez, E",BOS,IF,480,127,10,44,0.265,0.289
" Nunez, R",BAL,IF,236,61,8,22,0.258,0.322
" Odor, R",TEX,IF,474,120,18,63,0.253,0.326
" O'Hearn, R",KC,IF,149,39,12,30,0.262,0.353
" Ohtani, S",LAA,IF,326,93,22,61,0.285,0.361
" Olson, M",OAK,IF,580,143,29,84,0.247,0.335
" O'Neill, T",STL,OF,130,33,9,23,0.254,0.303
" Ortega, R",MIA,OF,133,31,0,7,0.233,0.287
" Osuna, J",PIT,IF,106,24,3,11,0.226,0.252
" Owings, C",ARI,IF,281,58,4,22,0.206,0.272
" Ozuna, M",STL,OF,582,163,23,88,0.28,0.325
" Palka, D",CWS,OF,417,100,27,67,0.24,0.294
" Panik, J",SF,IF,358,91,4,24,0.254,0.307
" Parra, G",COL,OF,401,114,6,53,0.284,0.342
" Pearce, S",BOS,IF,215,61,11,42,0.284,0.378
" Pederson, J",LAD,OF,395,98,25,56,0.248,0.321
" Pena, F",STL,C,133,27,2,8,0.203,0.239
" Pence, H",SF,OF,235,53,4,24,0.226,0.258
" Peralta, D",ARI,OF,560,164,30,87,0.293,0.352
" Peraza, J",CIN,IF,632,182,14,58,0.288,0.326
" Perez, H",MIL,IF,316,80,9,29,0.253,0.29
" Perez, R",CLE,C,179,30,2,19,0.168,0.256
" Perez, S",KC,C,510,120,27,80,0.235,0.274
" Peterson, J",BAL,IF,210,42,3,28,0.2,0.31
" Pham, T",TB,OF,494,136,21,63,0.275,0.367
" Phillips, B",KC,OF,134,25,2,11,0.187,0.252
" Pillar, K",TOR,OF,512,129,15,59,0.252,0.282
" Pina, M",MIL,C,306,77,9,28,0.252,0.307
" Pinder, C",OAK,OF,298,77,13,27,0.258,0.332
" Pirela, J",SD,IF,438,109,5,32,0.249,0.3
" Piscotty, S",OAK,OF,546,146,27,88,0.267,0.331
" Plawecki, K",NYM,C,238,50,7,30,0.21,0.315
" Polanco, G",PIT,OF,461,117,23,81,0.254,0.34
" Polanco, J",MIN,IF,302,87,6,42,0.288,0.345
" Pollock, A",ARI,OF,413,106,21,65,0.257,0.316
" Posey, B",SF,C,398,113,5,41,0.284,0.359
" Prado, M",MIA,IF,197,48,1,18,0.244,0.287
" Profar, J",TEX,IF,524,133,20,77,0.254,0.335
" Puig, Y",LAD,OF,405,108,23,63,0.267,0.327
" Pujols, A",LAA,IF,465,114,19,64,0.245,0.289
" Quinn, R",PHI,OF,131,34,2,12,0.26,0.317
" Ramirez, H",BOS,IF,177,45,6,29,0.254,0.313
" Ramirez, J",CLE,IF,578,156,39,105,0.27,0.387
" Ramos, W",PHI,C,382,117,15,70,0.306,0.358
" Realmuto, J",MIA,C,477,132,21,74,0.277,0.34
" Reddick, J",HOU,OF,433,105,17,47,0.242,0.318
" Rendon, A",WSH,IF,529,163,24,92,0.308,0.374
" Renfroe, H",SD,OF,403,100,26,68,0.248,0.302
" Reyes, F",SD,OF,261,73,16,31,0.28,0.34
" Reyes, J",NYM,IF,228,43,4,16,0.189,0.26
" Reyes, V",DET,OF,212,47,1,12,0.222,0.239
" Reynolds, M",WSH,IF,206,51,13,40,0.248,0.328
" Rickard, J",BAL,OF,213,52,8,23,0.244,0.3
" Riddle, J",MIA,IF,308,71,9,36,0.231,0.277
" Rivera, Y",MIA,IF,139,24,1,9,0.173,0.269
" Rizzo, A",CHC,IF,566,160,25,101,0.283,0.376
" Robertson, D",TB,IF,282,74,9,34,0.262,0.382
" Robinson, D",TEX,OF,109,20,3,9,0.183,0.288
" Rodriguez, R",DET,IF,191,42,5,20,0.22,0.256
" Rodriguez, S",PIT,IF,150,25,5,19,0.167,0.277
" Rojas, M",MIA,IF,488,123,11,53,0.252,0.297
" Romine, A",NYY,C,242,59,10,42,0.244,0.295
" Romine, A",SEA,IF,119,25,0,2,0.21,0.26
" Rondon, J",CWS,IF,100,23,6,14,0.23,0.28
" Rosario, A",NYM,IF,554,142,9,51,0.256,0.295
" Rosario, E",MIN,OF,559,161,24,77,0.288,0.323
" Rua, R",TEX,OF,139,27,6,12,0.194,0.221
" Russell, A",CHC,IF,420,105,5,38,0.25,0.317
" Saladino, T",MIL,IF,126,31,5,16,0.246,0.299
" Sanchez, G",NYY,C,323,60,18,53,0.186,0.291
" Sanchez, Y",CWS,IF,600,145,8,55,0.242,0.306
" Sandoval, P",SF,IF,230,57,9,40,0.248,0.31
" Sano, M",MIN,IF,266,53,13,41,0.199,0.281
" Santana, C",PHI,IF,560,128,24,86,0.229,0.352
" Santana, D",MIL,OF,211,56,5,20,0.265,0.328
" Santander, A",BAL,OF,101,20,1,6,0.198,0.25
" Schebler, S",CIN,OF,380,97,17,49,0.255,0.337
" Schoop, J",MIL,IF,473,110,21,61,0.233,0.266
" Schwarber, K",CHC,OF,428,102,26,61,0.238,0.356
" Seager, C",LAD,IF,101,27,2,13,0.267,0.348
" Seager, K",SEA,IF,583,129,22,78,0.221,0.273
" Segura, J",SEA,IF,586,178,10,63,0.304,0.341
" Semien, M",OAK,IF,632,161,15,70,0.255,0.318
" Severino, P",WSH,C,190,32,2,15,0.168,0.254
" Shaw, T",MIL,IF,498,120,32,86,0.241,0.345
" Shuck, JB",MIA,OF,130,25,0,4,0.192,0.255
" Sierra, M",MIA,OF,147,28,0,7,0.19,0.222
" Simmons, A",LAA,IF,554,162,11,75,0.292,0.337
" Sisco, C",BAL,C,160,29,2,16,0.181,0.288
" Slater, A",SF,OF,199,50,1,23,0.251,0.333
" Smith, D",NYM,IF,143,32,5,11,0.224,0.255
" Smith, K",LAA,C,171,50,3,21,0.292,0.348
" Smith, M",TB,OF,480,142,2,40,0.296,0.367
" Smoak, J",TOR,IF,505,122,25,77,0.242,0.35
" Solarte, Y",TOR,IF,468,106,17,54,0.226,0.277
" Soler, J",KC,OF,223,59,9,28,0.265,0.354
" Soto, J",WSH,OF,414,121,22,70,0.292,0.406
" Souza Jr., S",ARI,OF,241,53,5,29,0.22,0.309
" Span, D",SEA,OF,437,114,11,58,0.261,0.341
" Spangenberg, C",SD,IF,298,70,7,25,0.235,0.298
" Springer, G",HOU,OF,544,144,22,71,0.265,0.346
" Stanton, G",NYY,OF,617,164,38,100,0.266,0.343
" Stassi, M",HOU,C,221,50,8,27,0.226,0.316
" Story, T",COL,IF,598,174,37,108,0.291,0.348
" Suarez, E",CIN,IF,527,149,34,104,0.283,0.366
" Sucre, J",TB,C,182,38,1,17,0.209,0.247
" Suzuki, K",ATL,C,347,94,12,50,0.271,0.332
" Swanson, D",ATL,IF,478,114,14,59,0.238,0.304
" Swihart, B",BOS,C,192,44,3,18,0.229,0.285
" Taylor, C",LAD,IF,536,136,17,63,0.254,0.331
" Taylor, M",WSH,OF,353,80,6,28,0.227,0.287
" Thames, E",MIL,IF,247,54,16,37,0.219,0.306
" Thompson, T",CWS,OF,128,15,3,9,0.117,0.162
" Tilson, C",CWS,OF,106,28,0,11,0.264,0.331
" Tocci, C",TEX,OF,120,27,0,5,0.225,0.271
" Tomlinson, K",SF,IF,140,29,0,10,0.207,0.265
" Torres, G",NYY,IF,431,117,24,77,0.271,0.34
" Torreyes, R",NYY,IF,100,28,0,7,0.28,0.294
" Travis, D",TOR,IF,357,83,11,44,0.232,0.275
" Trout, M",LAA,OF,471,147,39,79,0.312,0.46
" Tucker, P",ATL,OF,166,38,6,27,0.229,0.299
" Turner, J",LAD,IF,365,114,14,52,0.312,0.406
" Turner, T",WSH,IF,664,180,19,73,0.271,0.344
" Upton, J",LAA,OF,533,137,30,85,0.257,0.344
" Utley, C",LAD,IF,164,35,1,14,0.213,0.305
" Valaika, P",COL,IF,122,19,2,5,0.156,0.214
" Valbuena, L",LAA,IF,266,53,9,33,0.199,0.253
" Valencia, D",BAL,IF,255,67,9,28,0.263,0.316
" Vazquez, C",BOS,C,251,52,3,16,0.207,0.257
" Villanueva, C",SD,IF,351,83,20,46,0.236,0.299
" Villar, J",BAL,IF,466,121,14,46,0.26,0.325
" Voit, L",NYY,IF,143,46,15,36,0.322,0.398
" Votto, J",CIN,IF,503,143,12,67,0.284,0.417
" Walker, N",NYY,IF,347,76,11,46,0.219,0.309
" Ward, T",LAA,IF,135,24,6,15,0.178,0.245
" Wendle, J",TB,IF,487,146,7,61,0.3,0.354
" White, T",HOU,IF,210,58,12,42,0.276,0.354
" Wieters, M",WSH,C,235,56,8,30,0.238,0.33
" Williams, M",CIN,OF,123,36,2,6,0.293,0.331
" Williams, N",PHI,OF,407,104,17,50,0.256,0.324
" Wilson, B",CHC,C,135,24,2,16,0.178,0.242
" Winker, J",CIN,OF,281,84,7,43,0.299,0.405
" Wolters, T",COL,C,182,31,3,27,0.17,0.292
" Wong, K",STL,IF,353,88,9,38,0.249,0.332
" Wynns, A",BAL,C,110,28,4,11,0.255,0.287
" Yelich, C",MIL,OF,574,187,36,110,0.326,0.402
" Young Jr., E",LAA,OF,109,22,1,8,0.202,0.248
" Young, C",LAA,OF,113,19,6,13,0.168,0.252
" Zimmer, B",CLE,OF,106,24,2,9,0.226,0.281
" Zimmerman, R",WSH,IF,288,76,13,51,0.264,0.337
" Zobrist, B",CHC,IF,455,139,9,58,0.305,0.378
" Zunino, M",SEA,C,373,75,20,44,0.201,0.259
