Year,"Ice Cream, 1000 gal","Frozen Yogurt, 1000 gal"
1950,554351,NA
1951,568849,NA
1952,592705,NA
1953,605051,NA
1954,596821,NA
1955,628525,NA
1956,641333,NA
1957,650583,NA
1958,657175,NA
1959,698931,NA
1960,697552,NA
1961,697151,NA
1962,704428,NA
1963,717597,NA
1964,738743,NA
1965,757000,NA
1966,751159,NA
1967,745409,NA
1968,773207,NA
1969,765501,NA
1970,761732,NA
1971,765843,NA
1972,767750,NA
1973,773674,NA
1974,781971,NA
1975,836552,NA
1976,818241,NA
1977,809849,NA
1978,815360,NA
1979,811079,NA
1980,829798,NA
1981,832450,NA
1982,852072,NA
1983,881543,NA
1984,894468,NA
1985,901449,NA
1986,923597,NA
1987,928356,NA
1988,882079,NA
1989,831159,82454
1990,823610,117577
1991,862638,147137
1992,866110,134067
1993,866248,149933
1994,876097,150565
1995,862232,152097
1996,878572,114168
1997,913770,92167
1998,937485,87777
2000,979645,94478