Month,wine sales (KL)
Jan-1981,464
Feb-1981,675
Mar-1981,703
Apr-1981,887
May-1981,1139
Jun-1981,1077
Jul-1981,1318
Aug-1981,1260
Sep-1981,1120
Oct-1981,963
Nov-1981,996
Dec-1981,960
Jan-1982,530
Feb-1982,883
Mar-1982,894
Apr-1982,1045
May-1982,1199
Jun-1982,1287
Jul-1982,1565
Aug-1982,1577
Sep-1982,1076
Oct-1982,918
Nov-1982,1008
Dec-1982,1063
Jan-1983,544
Feb-1983,635
Mar-1983,804
Apr-1983,980
May-1983,1018
Jun-1983,1064
Jul-1983,1404
Aug-1983,1286
Sep-1983,1104
Oct-1983,999
Nov-1983,996
Dec-1983,1015
Jan-1984,615
Feb-1984,722
Mar-1984,832
Apr-1984,977
May-1984,1270
Jun-1984,1437
Jul-1984,1520
Aug-1984,1708
Sep-1984,1151
Oct-1984,934
Nov-1984,1159
Dec-1984,1209
Jan-1985,699
Feb-1985,830
Mar-1985,996
Apr-1985,1124
May-1985,1458
Jun-1985,1270
Jul-1985,1753
Aug-1985,2258
Sep-1985,1208
Oct-1985,1241
Nov-1985,1265
Dec-1985,1828
Jan-1986,809
Feb-1986,997
Mar-1986,1164
Apr-1986,1205
May-1986,1538
Jun-1986,1513
Jul-1986,1378
Aug-1986,2083
Sep-1986,1357
Oct-1986,1536
Nov-1986,1526
Dec-1986,1376
Jan-1987,779
Feb-1987,1005
Mar-1987,1193
Apr-1987,1522
May-1987,1539
Jun-1987,1546
Jul-1987,2116
Aug-1987,2326
Sep-1987,1596
Oct-1987,1356
Nov-1987,1553
Dec-1987,1613
Jan-1988,814
Feb-1988,1150
Mar-1988,1225
Apr-1988,1691
May-1988,1759
Jun-1988,1754
Jul-1988,2100
Aug-1988,2062
Sep-1988,2012
Oct-1988,1897
Nov-1988,1964
Dec-1988,2186
Jan-1989,966
Feb-1989,1549
Mar-1989,1538
Apr-1989,1612
May-1989,2078
Jun-1989,2137
Jul-1989,2907
Aug-1989,2249
Sep-1989,1883
Oct-1989,1739
Nov-1989,1828
Dec-1989,1868
Jan-1990,1138
Feb-1990,1430
Mar-1990,1809
Apr-1990,1763
May-1990,2200
Jun-1990,2067
Jul-1990,2503
Aug-1990,2141
Sep-1990,2103
Oct-1990,1972
Nov-1990,2181
Dec-1990,2344
Jan-1991,970
Feb-1991,1199
Mar-1991,1718
Apr-1991,1683
May-1991,2025
Jun-1991,2051
Jul-1991,2439
Aug-1991,2353
Sep-1991,2230
Oct-1991,1852
Nov-1991,2147
Dec-1991,2286
Jan-1992,1007
Feb-1992,1665
Mar-1992,1642
Apr-1992,1525
May-1992,1838
Jun-1992,1892
Jul-1992,2920
Aug-1992,2572
Sep-1992,2617
Oct-1992,2047